HAND(2, 6, 7, 3, Q) HIGHCARD
HAND(2, 7, 3, 4, Q) HIGHCARD
HAND(2, 9, 4, 5, 7) HIGHCARD
HAND(2, 9, A, T, 5) HIGHCARD
HAND(2, Q, 4, 6, A) HIGHCARD
HAND(2, K, 4, 3, 7) HIGHCARD
HAND(2, K, 7, T, A) HIGHCARD
HAND(2, A, 3, 6, T) HIGHCARD
HAND(2, A, K, 5, 8) HIGHCARD
HAND(3, 2, 9, T, A) HIGHCARD
HAND(3, 4, 6, 5, K) HIGHCARD
HAND(3, 4, K, Q, T) HIGHCARD
HAND(3, 5, 6, 4, 2) HIGHCARD
HAND(3, 6, 8, 9, Q) HIGHCARD
HAND(3, 8, Q, A, T) HIGHCARD
HAND(3, 9, 6, K, A) HIGHCARD
HAND(3, Q, 4, 6, 2) HIGHCARD
HAND(3, Q, 8, 9, T) HIGHCARD
HAND(3, A, K, 5, 7) HIGHCARD
HAND(4, 2, 5, K, A) HIGHCARD
HAND(4, 2, 7, 9, T) HIGHCARD
HAND(4, 2, Q, K, 5) HIGHCARD
HAND(4, 5, T, Q, 2) HIGHCARD
HAND(4, 6, 7, K, 3) HIGHCARD
HAND(4, 7, 5, 8, T) HIGHCARD
HAND(4, 8, 7, Q, K) HIGHCARD
HAND(4, 9, 8, A, 7) HIGHCARD
HAND(4, K, 7, 6, 9) HIGHCARD
HAND(4, K, T, 2, A) HIGHCARD
HAND(4, K, T, 7, A) HIGHCARD
HAND(4, A, 3, 7, T) HIGHCARD
HAND(4, A, 8, 6, 5) HIGHCARD
HAND(5, 2, 3, 8, 4) HIGHCARD
HAND(5, 4, 6, A, Q) HIGHCARD
HAND(5, 6, 3, 8, T) HIGHCARD
HAND(5, 9, T, K, A) HIGHCARD
HAND(5, K, 4, 9, Q) HIGHCARD
HAND(5, K, 9, 3, 2) HIGHCARD
HAND(5, A, 9, 7, 4) HIGHCARD
HAND(6, 3, 4, 8, 9) HIGHCARD
HAND(6, Q, K, 2, 4) HIGHCARD
HAND(6, K, 3, 7, 5) HIGHCARD
HAND(6, K, T, Q, 7) HIGHCARD
HAND(7, 2, K, 5, 4) HIGHCARD
HAND(7, 2, A, T, 6) HIGHCARD
HAND(7, 2, A, K, 6) HIGHCARD
HAND(7, 8, 2, T, Q) HIGHCARD
HAND(7, 8, 5, 3, A) HIGHCARD
HAND(7, 9, T, 6, 4) HIGHCARD
HAND(7, T, 3, 9, 5) HIGHCARD
HAND(7, T, 5, Q, 9) HIGHCARD
HAND(7, A, 8, Q, 9) HIGHCARD
HAND(8, 3, T, 5, 2) HIGHCARD
HAND(8, 5, 9, 2, 3) HIGHCARD
HAND(8, 5, A, 9, 3) HIGHCARD
HAND(8, 6, A, 2, Q) HIGHCARD
HAND(8, 7, 3, 2, A) HIGHCARD
HAND(8, 7, Q, 5, A) HIGHCARD
HAND(8, 9, 5, A, Q) HIGHCARD
HAND(8, T, 3, 4, 2) HIGHCARD
HAND(8, Q, A, K, 3) HIGHCARD
HAND(8, K, A, Q, 6) HIGHCARD
HAND(9, 2, 3, 4, T) HIGHCARD
HAND(9, 2, 4, 5, 3) HIGHCARD
HAND(9, 3, 5, 4, K) HIGHCARD
HAND(9, 3, 7, 8, 5) HIGHCARD
HAND(9, 4, 5, T, A) HIGHCARD
HAND(9, 4, A, Q, T) HIGHCARD
HAND(9, 6, T, Q, 2) HIGHCARD
HAND(9, 7, 3, 2, 5) HIGHCARD
HAND(9, 7, Q, 6, 3) HIGHCARD
HAND(9, 8, 3, 2, A) HIGHCARD
HAND(9, 8, T, 6, 4) HIGHCARD
HAND(9, T, 4, 7, Q) HIGHCARD
HAND(9, K, 3, 7, 2) HIGHCARD
HAND(9, K, Q, T, 2) HIGHCARD
HAND(T, 4, 2, 6, 9) HIGHCARD
HAND(T, 4, 3, A, 6) HIGHCARD
